bist_time,ask_price1,ask_vol1,ask_price2,ask_vol2,ask_price3,ask_vol3,bid_price1,bid_vol1,bid_price2,bid_vol2,bid_price3,bid_vol3
1663743600232709629,19.93,52586,19.94,5300,None,None,19.92,2,None,None,None,None
1663743600575170650,19.93,52565,19.94,25075,19.95,801,19.92,2,None,None,None,None
1663743600578194994,19.93,52564,19.94,25075,19.95,801,19.92,2,None,None,None,None
1663743600652958895,19.93,51062,19.94,25075,19.95,801,19.92,2,None,None,None,None
1663743600704343042,19.93,50100,19.94,25075,19.95,801,19.92,2,None,None,None,None
1663743600704343042,19.93,47600,19.94,25075,19.95,801,19.92,2,None,None,None,None
1663743601130848327,19.93,47210,19.94,25075,19.95,801,19.92,540,None,None,None,None
1663743601130848327,19.93,47180,19.94,25075,19.95,801,19.92,540,None,None,None,None
1663743601130848327,19.93,46180,19.94,25075,19.95,801,19.92,540,None,None,None,None
1663743601130848327,19.93,46150,19.94,25075,19.95,801,19.92,540,None,None,None,None
1663743601130848327,19.93,46100,19.94,25075,19.95,801,19.92,540,None,None,None,None
1663743601231889855,19.93,45900,19.94,25075,19.95,2835,19.92,37368,19.91,1190,19.9,11239
1663743601232338028,19.93,43600,19.94,25075,19.95,2835,19.92,37368,19.91,1190,19.9,11239
1663743601245783490,19.93,41600,19.94,25075,19.95,2835,19.92,37368,19.91,1190,19.9,13739
1663743601245973093,19.93,41600,19.94,25075,19.95,2835,19.92,36868,19.91,1190,19.9,13739
1663743601248059365,19.93,39300,19.94,25075,19.95,2835,19.92,36868,19.91,1190,19.9,13739
1663743601314989438,19.93,39298,19.94,25075,19.95,2835,19.92,36868,19.91,1190,19.9,13939
1663743601693306204,19.93,39298,19.94,25075,19.95,2835,19.92,36852,19.91,1207,19.9,13994
1663743601693306204,19.93,39298,19.94,25075,19.95,2835,19.92,34669,19.91,1207,19.9,13994
1663743601696629211,19.93,39298,19.94,25075,19.95,2835,19.92,25533,19.91,8941,19.9,14624
1663743601841638484,19.93,39198,19.94,25075,19.95,2835,19.92,25633,19.91,11341,19.9,14624
1663743601993101076,19.93,39198,19.94,25075,19.95,2835,19.92,23433,19.91,11441,19.9,16999
1663743601993101076,19.93,39198,19.94,25075,19.95,2835,19.92,20933,19.91,11441,19.9,16999
1663743601993415832,19.93,39198,19.94,25075,19.95,2835,19.92,13433,19.91,11441,19.9,16999
1663743602187744073,19.93,39198,19.94,25075,19.95,2835,19.92,13408,19.91,11441,19.9,16999
1663743602189175037,19.93,39198,19.94,25075,19.95,2835,19.92,13395,19.91,11441,19.9,17134
1663743602235416224,19.93,39198,19.94,25075,19.95,2835,19.92,3395,19.91,11441,19.9,17134
1663743602237055804,19.92,16567,19.93,39198,19.94,25075,19.91,11441,19.9,17134,19.89,1500
1663743602346490837,19.92,31839,19.93,39198,19.94,25075,19.91,11441,19.9,17134,19.89,1500
1663743602369237369,19.92,32027,19.93,39198,19.94,25075,19.91,9841,19.9,17134,19.89,1500
1663743602519177940,19.92,32127,19.93,39198,19.94,25075,19.91,9839,19.9,17134,19.89,3925
1663743602562508962,19.92,32127,19.93,39198,19.94,25075,19.91,8841,19.9,17134,19.89,3925
1663743603077418877,19.92,44513,19.93,39198,19.94,25075,19.91,6491,19.9,17284,19.89,3925
1663743603077725834,19.92,44513,19.93,39198,19.94,25075,19.9,13775,19.89,3925,19.88,9415
1663743603938086251,19.92,61584,19.93,39198,19.94,25075,19.91,2500,19.9,18775,19.89,3925
