bist_time,ask,bid,volume
1663743600232709629,19.93,19.92,57902
1663743600575170650,19.93,19.92,78478
1663743600578194994,19.93,19.92,78478
1663743600652958895,19.93,19.92,77814
1663743600704343042,19.93,19.92,77752
1663743600704343042,19.93,19.92,77752
1663743601130848327,19.93,19.92,78290
1663743601130848327,19.93,19.92,78290
1663743601130848327,19.93,19.92,78290
1663743601130848327,19.93,19.92,78290
1663743601130848327,19.93,19.92,78290
1663743601231889855,19.93,19.92,136646
1663743601232338028,19.93,19.92,136646
1663743601245783490,19.93,19.92,141146
1663743601245973093,19.93,19.92,141144
1663743601248059365,19.93,19.92,139544
1663743601314989438,19.93,19.92,139744
1663743601693306204,19.93,19.92,139883
1663743601693306204,19.93,19.92,139883
1663743601696629211,19.93,19.92,140011
1663743601841638484,19.93,19.92,143007
1663743601993101076,19.93,19.92,143772
1663743601993101076,19.93,19.92,142719
1663743601993415832,19.93,19.92,142719
1663743602187744073,19.93,19.92,142719
1663743602189175037,19.93,19.92,142854
1663743602235416224,19.93,19.92,137975
1663743602237055804,19.92,19.91,151147
1663743602346490837,19.92,19.91,181185
1663743602369237369,19.92,19.91,181373
1663743602519177940,19.92,19.91,193103
1663743602562508962,19.92,19.91,192355
1663743603077418877,19.92,19.91,204687
1663743603077725834,19.92,19.9,194810
1663743603938086251,19.92,19.91,224080
1663743604150095055,19.92,19.9,221310
1663743604150095055,19.92,19.9,221310
1663743604553883066,19.92,19.9,244522
1663743604554063027,19.92,19.9,241882
1663743604646521218,19.92,19.9,249339
1663743604731023335,19.92,19.9,251868
1663743604731023335,19.92,19.9,251868
1663743604731023335,19.92,19.9,251868
1663743604731023335,19.92,19.9,251868
1663743604731023335,19.92,19.9,251868
1663743604731023335,19.92,19.9,251868
1663743604737571196,19.92,19.9,252304
1663743605021924245,19.92,19.9,256054
1663743605099106583,19.92,19.9,256054
1663743605425853871,19.92,19.9,266054
1663743605518818530,19.92,19.9,266054
1663743605518818530,19.92,19.9,266054
1663743605799638643,19.92,19.9,266103
1663743605799638643,19.92,19.9,260918
1663743605843527181,19.92,19.9,354816
1663743605843527181,19.92,19.9,354798
1663743605892113669,19.92,19.9,354798
1663743605907892332,19.92,19.91,356187
1663743605985707994,19.92,19.91,356529
1663743606255909793,19.92,19.91,356529
1663743606544890697,19.92,19.91,356529
1663743606544971595,19.92,19.91,356529
1663743606758202842,19.92,19.91,356529
1663743606934428730,19.92,19.91,356529
1663743606937062052,19.92,19.91,356529
1663743606938149733,19.92,19.91,356529
1663743606938149733,19.92,19.91,356529
1663743606938149733,19.92,19.91,356529
1663743606938149733,19.92,19.91,356529
1663743606938149733,19.92,19.91,356529
1663743606938149733,19.92,19.91,356529
1663743606938149733,19.92,19.91,356529
1663743606938149733,19.92,19.91,356529
1663743606944615372,19.92,19.91,356529
1663743606959074964,19.92,19.91,356529
1663743606959742533,19.92,19.91,356529
1663743606960338942,19.92,19.91,356529
1663743606968027493,19.92,19.91,356529
1663743606996923538,19.92,19.91,356529
1663743606996923538,19.92,19.91,356529
1663743606997464459,19.92,19.91,356529
1663743607012095930,19.92,19.91,356529
1663743607012095930,19.92,19.91,356529
1663743607040048471,19.92,19.91,358713
1663743607062448667,19.92,19.91,358713
1663743607067595679,19.92,19.91,358713
1663743607067909201,19.92,19.91,358713
1663743607069052774,19.92,19.91,358713
1663743607089063331,19.92,19.91,360046
1663743607089063331,19.92,19.91,360046
1663743607415392442,19.92,19.91,360047
1663743607415392442,19.92,19.91,360047
1663743607415392442,19.92,19.91,360047
1663743607479260168,19.92,19.91,360047
1663743607515122983,19.92,19.91,360047
1663743607997696724,19.92,19.91,360047
1663743607998168109,19.92,19.91,360047
1663743608101729775,19.92,19.91,360048
1663743608101729775,19.92,19.91,360048
1663743608101729775,19.92,19.91,360048
1663743608101729775,19.92,19.91,360048
1663743608101729775,19.92,19.91,360048
1663743608101729775,19.92,19.91,360048
1663743608101729775,19.92,19.91,360048
1663743608101729775,19.92,19.91,360048
1663743608857795841,19.92,19.91,360467
1663743609113579955,19.92,19.91,360467
1663743609113579955,19.92,19.91,360467
1663743609193882458,19.92,19.91,439617
1663743609193882458,19.92,19.91,439617
1663743609194427005,19.92,19.91,439617
1663743609198895642,19.92,19.91,444518
1663743609265379829,19.92,19.91,445019
1663743609573880260,19.92,19.91,445350
1663743609573880260,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743610545188604,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611156831275,19.92,19.91,445350
1663743611632901248,19.92,19.91,446450
1663743613019464718,19.92,19.91,451700
1663743613428416311,19.92,19.91,451700
1663743613578934278,19.92,19.91,451700
1663743614887460273,19.92,19.91,461921
1663743615053338781,19.92,19.91,461972
1663743615519099221,19.92,19.91,461972
1663743615983823995,19.92,19.91,461972
1663743616463252361,19.92,19.91,461972
1663743616463252361,19.92,19.91,461972
1663743616917630682,19.92,19.91,461972
1663743616949595402,19.92,19.91,461972
1663743617391757417,19.92,19.91,462222
1663743617391757417,19.92,19.91,462222
1663743619571803243,19.92,19.91,472224
1663743619571849448,19.92,19.91,472224
1663743619704425087,19.92,19.91,473624
1663743620000487550,19.92,19.91,483624
1663743621230823491,19.92,19.91,486224
1663743624885528853,19.92,19.91,492709
1663743626123776947,19.92,19.91,519786
1663743626964675967,19.92,19.91,519787
1663743627274794723,19.92,19.91,520687
1663743627958882825,19.92,19.91,520797
1663743627958882825,19.92,19.91,520797
1663743628726384013,19.92,19.91,521300
1663743628726384013,19.92,19.91,521300
1663743628726384013,19.92,19.91,521300
1663743628726384013,19.92,19.91,521300
1663743628726384013,19.92,19.91,521300
1663743628944218584,19.92,19.91,521300
1663743629003778600,19.93,19.91,431360
1663743629003778600,19.93,19.91,431360
1663743630055039054,19.93,19.91,431365
1663743630055039054,19.93,19.91,431365
1663743630055039054,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630055565488,19.93,19.91,431365
1663743630143376369,19.93,19.91,446160
1663743630255101281,19.93,19.91,446160
1663743633450514383,19.93,19.91,446160
